uniprot,protein_length,source_database,organism,in_alphafold,pfam_accession,name,source_database,type,integrated,member_databases,go_terms,start,end,dc-status,representative,representative,model,score
P00519,1130,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,127,202,CONTINUOUS,False,False,PF00017,9.3e-21
P00519,1130,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,67,113,CONTINUOUS,False,False,PF00018,2e-09
P00519,1130,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,242,492,CONTINUOUS,False,False,PF07714,1.4e-97
P00519,1130,reviewed,9606,True,PF08919,F-actin binding,pfam,domain,IPR015015,,,1026,1130,CONTINUOUS,False,False,PF08919,3.5e-28
Q07912,1038,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,127,384,CONTINUOUS,False,False,PF07714,5.9e-86
Q07912,1038,reviewed,9606,True,PF09027,GTPase binding,pfam,domain,IPR015116,,,450,513,CONTINUOUS,True,True,PF09027,1.2e-25
Q07912,1038,reviewed,9606,True,PF11555,EGFR receptor inhibitor Mig-6,pfam,family,IPR021619,,,775,837,CONTINUOUS,False,False,PF11555,3e-15
Q07912,1038,reviewed,9606,True,PF14604,Variant SH3 domain,pfam,domain,IPR001452,,,395,444,CONTINUOUS,False,False,PF14604,1.5e-09
Q07912,1038,reviewed,9606,True,PF22931,SAM domain-like,pfam,domain,,,,10,65,CONTINUOUS,False,False,PF22931,3.2e-21
P27037,513,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,200,472,CONTINUOUS,False,False,PF00069,3e-29
P27037,513,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,55,113,CONTINUOUS,True,True,PF01064,0.3
Q13705,512,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,198,471,CONTINUOUS,False,False,PF00069,5.1e-27
Q13705,512,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,53,111,CONTINUOUS,True,True,PF01064,0.0091
Q96D53,544,reviewed,9606,True,PF03109,ABC1 atypical kinase-like domain,pfam,domain,IPR004147,,,179,418,CONTINUOUS,False,False,PF03109,6.5e-65
Q96RU8,372,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,135,338,CONTINUOUS,False,False,PF00069,2e-30
Q8IWQ3,736,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,19,269,CONTINUOUS,False,False,PF00069,2.3e-70
Q8IWQ3,736,reviewed,9606,True,PF21115,BRSK1/2 UBA domain,pfam,domain,IPR048622,,,299,341,CONTINUOUS,False,False,PF21115,5.6e-22
Q8IWQ3,736,reviewed,9606,True,PF21122,BRSK1/2 KA1 domain,pfam,domain,,,,523,635,CONTINUOUS,True,True,PF21122,6.8e-51
Q9Y3S1,2297,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,200,453,CONTINUOUS,False,False,PF00069,5e-50
Q9Y3S1,2297,reviewed,9606,True,PF12202,Oxidative-stress-responsive kinase 1 C-terminal domain,pfam,domain,IPR024678,,,474,537,CONTINUOUS,True,True,PF12202,3.4e-22
P31749,480,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,151,408,CONTINUOUS,False,False,PF00069,4.7e-76
P31749,480,reviewed,9606,True,PF00169,PH domain,pfam,domain,IPR001849,,,7,106,CONTINUOUS,False,False,PF00169,1.2e-15
